in:Item number,out:Length,out:Height,out:MCI,out:Virgin content,out:Recycled content,out:Recyclable content,out:Reusable content,out:Unrecoverable waste,out:CO2,out:Cost/yr,out:Life,out:Uvalue,img,threeD
27,1300,1100,0.543441,0.461401,0.538599,0.69837,0.30163,124.716895,2230.383229,1845.167554,30,2.114456,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber27_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber27.json
28,1100,800,0.564803,0.491153,0.508847,0.282646,0.717354,40.041666,1314.632184,994.625511,26,3.146057,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber28_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber28.json
29,1200,1900,0.624002,0.173537,0.826463,0.746287,0.253713,237.597552,2838.498632,2598.409512,30,3.272939,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber29_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber29.json
30,900,1100,0.554809,0.611573,0.388427,0.347665,0.652335,33.028494,1766.064584,1072.329539,29,2.612605,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber30_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber30.json
31,900,600,0.640406,0.590966,0.409034,0.434629,0.565371,19.603101,1093.430296,636.694654,41,2.933468,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber31_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber31.json
32,1300,1600,0.550662,0.355056,0.644944,1,0,181.287329,3903.167739,2157.382907,28,2.898592,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber32_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber32.json
33,600,700,0.588846,0.515981,0.484019,0.531561,0.468439,37.51279,726.091625,683.607068,35,1.527229,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber33_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber33.json
34,1500,1600,0.532756,0.781632,0.218368,0,1,38.656512,4011.059485,2508.416278,31,3.483752,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber34_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber34.json
35,1800,500,0.49383,0.551867,0.448133,0.601956,0.398044,75.933071,1507.322329,1345.390678,27,3.112603,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber35_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber35.json
36,1300,500,0.602785,0.293652,0.706348,0.573888,0.426112,69.141289,887.638395,940.517377,29,3.217487,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber36_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber36.json
37,1100,1200,0.580312,0.465255,0.534745,0.68925,0.31075,109.441668,2256.337094,1643.456135,34,1.625007,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber37_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber37.json
38,1800,1100,0.510006,0.52105,0.47895,0.793275,0.206725,157.745388,3489.819421,2389.145444,29,2.528788,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber38_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber38.json
39,1500,1000,0.572609,0.200972,0.799028,0.931137,0.068863,159.78948,2179.592497,1718.147687,25,2.550516,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber39_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber39.json
40,1700,700,0.642249,0.475681,0.524319,0.341678,0.658322,51.888641,1887.529769,1234.04378,36,2.04565,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber40_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber40.json
41,1300,1100,0.627367,0.423166,0.576834,0.69837,0.30163,120.860849,2418.58837,1722.808106,40,3.487593,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber41_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber41.json
42,1800,1300,0.581493,0.816665,0.183335,0,1,23.434319,4299.00065,2360.22916,38,2.882209,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber42_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber42.json
43,1400,1900,0.547546,0.275746,0.724254,1,0,259.754551,4127.806355,2884.003979,26,2.273231,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber43_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber43.json
